text,question,answer_term,ep,sp
" steric clash with Val147 and Leu139 and by increasing hydrophobic contact with Leu139 and Gly216 residues in the solvent-exposed region of the enzyme. Based on these suggestions, the rational redesign of furanopyrimidine 24 (clog P=7.41; Aurora A IC(50) =43 nM; HCT-116 IC(50) =400 nM) led to the identification of quinazoline 67 (clog P=5.28; Aurora A IC(50) =25 nM; HCT-116 IC(50) =23 nM). Rat in vivo pharmacokinetic studies showed that 67 has better systemic exposure after i.v. administration than 24, and holds potential for further development.",quinazoline acts as INHIBITOR for what entity? ,Aurora A,-1.0,-1.0
" of a potent quinazoline-based Aurora kinase inhibitor.We describe the 3D-QSAR-assisted design of an Aurora kinase A inhibitor with improved physicochemical properties, in vitro activity, and in vivo pharmacokinetic profiles over those of the initial lead. Three different 3D-QSAR models were built and validated by using a set of 66 pyrazole (Model I) and furanopyrimidine (Model II) compounds with IC(50) values toward Aurora kinase A ranging from 33 nM to 10.5 μM. The best 3D-QSAR model, Model III, constructed with 24 training set compounds from both series, showed robustness (r(2) (CV) =0.54 and 0.52 for CoMFA and CoMSIA, respectively) and",pyrazole acts as INHIBITOR for what entity? ,Aurora kinase A,-1.0,-1.0
" Aurora kinase inhibitor.We describe the 3D-QSAR-assisted design of an Aurora kinase A inhibitor with improved physicochemical properties, in vitro activity, and in vivo pharmacokinetic profiles over those of the initial lead. Three different 3D-QSAR models were built and validated by using a set of 66 pyrazole (Model I) and furanopyrimidine (Model II) compounds with IC(50) values toward Aurora kinase A ranging from 33 nM to 10.5 μM. The best 3D-QSAR model, Model III, constructed with 24 training set compounds from both series, showed robustness (r(2) (CV) =0.54 and 0.52 for CoMFA and CoMSIA, respectively) and superior predictive capacity for",furanopyrimidine acts as INHIBITOR for what entity? ,Aurora kinase A,-1.0,-1.0
" 3D-QSAR-assisted drug design: identification of a potent quinazolin -based Aurora kinase inhibitor.We describe the 3D-QSAR-assisted design of an Aurora kinase A inhibitor with improved physicochemical properties, in vitro activity, and in vivo pharmacokinetic profiles over those of the initial lead. Three different 3D-QSAR models were built and validated by using a set of 66 pyrazole (Model I)",quinazoline acts as INHIBITOR for what entity? ,Aurora kinase,89.0,76.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 (N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine, 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of",arginine acts as PART-OF for what entity? ,Myc,259.0,256.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 (N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine, 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of",arginine acts as PART-OF for what entity? ,c-Myc,38.0,33.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 (N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine, 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of",arginine acts as PART-OF for what entity? ,Myc,259.0,256.0
" its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of 33 μM for disruption of the Myc-Max heterodimer, JY-3-094 demonstrated excellent selectivity over Max-Max homodimers, with no apparent effect at 100 μM. Importantly, the carboxylic acid of JY-3-094 improves the physicochemical properties of the lead compound, which will facilitate the incorporation of additional hydrophobicity that might enhance Myc inhibitory activity further still.",JY-3-094 acts as REGULATOR for what entity? ,Myc,623.0,620.0
" its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of 33 μM for disruption of the Myc-Max heterodimer, JY-3-094 demonstrated excellent selectivity over Max-Max homodimers, with no apparent effect at 100 μM. Importantly, the carboxylic acid of JY-3-094 improves the physicochemical properties of the lead compound, which will facilitate the incorporation of additional hydrophobicity that might enhance Myc inhibitory activity further still.",JY-3-094 acts as REGULATOR for what entity? ,Max,-1.0,-1.0
" its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of 33 μM for disruption of the Myc-Max heterodimer, JY-3-094 demonstrated excellent selectivity over Max-Max homodimers, with no apparent effect at 100 μM. Importantly, the carboxylic acid of JY-3-094 improves the physicochemical properties of the lead compound, which will facilitate the incorporation of additional hydrophobicity that might enhance Myc inhibitory activity further still.",JY-3-094 acts as REGULATOR for what entity? ,Max,-1.0,-1.0
" its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of 33 μM for disruption of the Myc-Max heterodimer, JY-3-094 demonstrated excellent selectivity over Max-Max homodimers, with no apparent effect at 100 μM. Importantly, the carboxylic acid of JY-3-094 improves the physicochemical properties of the lead compound, which will facilitate the incorporation of additional hydrophobicity that might enhance Myc inhibitory activity further still.",JY-3-094 acts as REGULATOR for what entity? ,Max,-1.0,-1.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 (N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine, 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish",10074-G5 acts as REGULATOR for what entity? ,Myc,259.0,256.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 ( N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the","N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine acts as REGULATOR for what entity? ",Myc,259.0,256.0
" Pharmacophore identification of c-Myc inhibitor 10074-G .A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 (N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine, 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity,",10074-G5 acts as INHIBITOR for what entity? ,c-Myc,38.0,33.0
" a para-carboxyphenyl group to furnish the new inhibitor JY-3-094 (3q). Around five times as potent as the lead with an IC(50) of 33 μM for disruption of the Myc-Max heterodimer, JY-3-094 demonstrated excellent selectivity over Max-Max homodimers, with no apparent effect at 100 μM. Importantly, the carboxylic acid of JY-3-094 improves the physicochemical properties of the lead compound, which will facilitate the incorporation of additional hydrophobicity that might enhance Myc inhibitory activity further still.",JY-3-094 acts as INHIBITOR for what entity? ,Myc,481.0,478.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 (N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine, 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish",10074-G5 acts as INHIBITOR for what entity? ,c-Myc,38.0,33.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 (N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine, 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish",10074-G5 acts as INHIBITOR for what entity? ,Myc,259.0,256.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 ( N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the","N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine acts as INHIBITOR for what entity? ",c-Myc,38.0,33.0
" Pharmacophore identification of c-Myc inhibitor 10074-G5.A structure-activity relationship (SAR) study of the c-Myc (Myc) inhibitor 10074-G5 ( N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine 1) - which targets a hydrophobic domain of the Myc oncoprotein that is flanked by arginine residues - was executed in order to determine its pharmacophore. Whilst the 7-nitrobenzofurazan was found to be critical for inhibitory activity, the ortho-biphenyl could be replaced with a para-carboxyphenyl group to furnish the","N-([1,1'-biphenyl]-2-yl)-7-nitrobenzo[c][1,2,5]oxadiazol-4-amine acts as INHIBITOR for what entity? ",Myc,259.0,256.0
" preventing entry into the circulation and inhibition of plasma BChE and AChE on red blood cells (RBC-AChE) and in cholinergic synapses. In contrast to parenteral delivery of rBChE, which currently requires posttranslational modification for good plasma stability, an unmodified aer-rBChE pretreatment given 1-40h prior to >1 LD50 of aer- paraoxon (Px) was able to prevent inhibition of circulating cholinesterase in a dose-dependent manner. These studies are the first to show protection by rBChE against a pesticide such as paraoxon when delivered directly into the lung and bode well for the use of a non-invasive and consumer friendly method of",paraoxon acts as ACTIVATOR for what entity? ,cholinesterase,413.0,399.0
" histopathological analyses. Results showed that PM(2.5) alone exposure could trigger the significant increase of CRP, MDA, CK, ET-1 and SBP and decrease of heart rate variability (HRV), a marker of cardiac autonomic nervous system (ANS) function. Ozone alone exposure in rats did not show significant alterations in any indicators. Ozone plus PM(2.5) exposure, however, induced CRP, IL-6, CK, LDH and MDA increase, SOD and HRV decrease significantly in a dose-response way. Meanwhile, abnormal ECG types were monitored in rats exposed to PM(2.5) with and without ozone and obvious myocardial ultrastructural changes were observed by TEM. In conclusion, PM(2.5) alone",Ozone acts as INDIRECT-UPREGULATOR for what entity? ,CRP,-1.0,-1.0
" histopathological analyses. Results showed that PM(2.5) alone exposure could trigger the significant increase of CRP, MDA, CK, ET-1 and SBP and decrease of heart rate variability (HRV), a marker of cardiac autonomic nervous system (ANS) function. Ozone alone exposure in rats did not show significant alterations in any indicators. Ozone plus PM(2.5) exposure, however, induced CRP, IL-6, CK, LDH and MDA increase, SOD and HRV decrease significantly in a dose-response way. Meanwhile, abnormal ECG types were monitored in rats exposed to PM(2.5) with and without ozone and obvious myocardial ultrastructural changes were observed by TEM. In conclusion, PM(2.5) alone",Ozone acts as INDIRECT-UPREGULATOR for what entity? ,IL-6,-1.0,-1.0
" histopathological analyses. Results showed that PM(2.5) alone exposure could trigger the significant increase of CRP, MDA, CK, ET-1 and SBP and decrease of heart rate variability (HRV), a marker of cardiac autonomic nervous system (ANS) function. Ozone alone exposure in rats did not show significant alterations in any indicators. Ozone plus PM(2.5) exposure, however, induced CRP, IL-6, CK, LDH and MDA increase, SOD and HRV decrease significantly in a dose-response way. Meanwhile, abnormal ECG types were monitored in rats exposed to PM(2.5) with and without ozone and obvious myocardial ultrastructural changes were observed by TEM. In conclusion, PM(2.5) alone",Ozone acts as INDIRECT-UPREGULATOR for what entity? ,CK,-1.0,-1.0
" histopathological analyses. Results showed that PM(2.5) alone exposure could trigger the significant increase of CRP, MDA, CK, ET-1 and SBP and decrease of heart rate variability (HRV), a marker of cardiac autonomic nervous system (ANS) function. Ozone alone exposure in rats did not show significant alterations in any indicators. Ozone plus PM(2.5) exposure, however, induced CRP, IL-6, CK, LDH and MDA increase, SOD and HRV decrease significantly in a dose-response way. Meanwhile, abnormal ECG types were monitored in rats exposed to PM(2.5) with and without ozone and obvious myocardial ultrastructural changes were observed by TEM. In conclusion, PM(2.5) alone",Ozone acts as INDIRECT-UPREGULATOR for what entity? ,LDH,397.0,394.0
" histopathological analyses. Results showed that PM(2.5) alone exposure could trigger the significant increase of CRP, MDA, CK, ET-1 and SBP and decrease of heart rate variability (HRV), a marker of cardiac autonomic nervous system (ANS) function. Ozone alone exposure in rats did not show significant alterations in any indicators. Ozone plus PM(2.5) exposure, however, induced CRP, IL-6, CK, LDH and MDA increase, SOD and HRV decrease significantly in a dose-response way. Meanwhile, abnormal ECG types were monitored in rats exposed to PM(2.5) with and without ozone and obvious myocardial ultrastructural changes were observed by TEM. In conclusion, PM(2.5) alone",Ozone acts as INDIRECT-DOWNREGULATOR for what entity? ,SOD,419.0,416.0
" Pak1(-/-) mice, associated with impaired glucose tolerance after an ip or oral glucose challenge. These mice had lower circulating active GLP-1 levels after a glucose challenge as well as reduced distal ileum GLP-1 content after insulin treatment. Finally, the Pak1(-/-) mice exhibited reduced brainstem gcg level and abolished β-cat Ser 75 phosphorylation in brain neurons after insulin treatment. We suggest that Pak1 mediates the cross talk between insulin and Wnt signaling pathways on gut and brain gcg expression, and its ablation impairs glucose homeostasis.",Ser acts as PART-OF for what entity? ,β-cat,334.0,329.0
" proglucagon (gcg) expression and glucagon-like peptide-1 (GLP-1) production. In several other cell lineages, insulin is able to stimulate p21-activated protein kinase 1 (Pak1). Here we determined the role of Pak1 in gcg expression and the effect of Pak1 deletion on glucose homeostasis. Insulin stimulated Pak1 activation through increasing its Thr 23 phosphorylation in gut gcg-expressing cell lines, associated with increased gcg mRNA levels. This stimulation was attenuated by the Pak inhibitor 2,2'-dihydroxy-1,1'-dinaphthyldisulfide (IPA3) or dominant-negative Pak1. Both insulin and cAMP-promoting agents activated β-cat Ser675 phosphorylation, which was attenuated by IPA3 or protein kinase A inhibition, respectively. Gut gcg levels",Thr acts as PART-OF for what entity? ,Pak1,213.0,209.0
" 1 (Pak1). Here we determined the role of Pak1 in gcg expression and the effect of Pak1 deletion on glucose homeostasis. Insulin stimulated Pak1 activation through increasing its Thr423 phosphorylation in gut gcg-expressing cell lines, associated with increased gcg mRNA levels. This stimulation was attenuated by the Pak inhibitor 2,2'-dihydroxy-1,1'-dinaphthyldisulfide (IPA3) or dominant-negative Pak1. Both insulin and cAMP-promoting agents activated β-cat Ser675 phosphorylation, which was attenuated by IPA3 or protein kinase A inhibition, respectively. Gut gcg levels were reduced in male Pak1(-/-) mice, associated with impaired glucose tolerance after an ip or oral glucose challenge. These mice had lower","2,2'-dihydroxy-1,1'-dinaphthyldisulfide acts as INHIBITOR for what entity? ",Pak,321.0,318.0
" Here we determined the role of Pak1 in gcg expression and the effect of Pak1 deletion on glucose homeostasis. Insulin stimulated Pak1 activation through increasing its Thr423 phosphorylation in gut gcg-expressing cell lines, associated with increased gcg mRNA levels. This stimulation was attenuated by the Pak inhibitor 2,2'-dihydroxy-1,1'-dinaphthyldisulfide ( IPA3 or dominant-negative Pak1. Both insulin and cAMP-promoting agents activated β-cat Ser675 phosphorylation, which was attenuated by IPA3 or protein kinase A inhibition, respectively. Gut gcg levels were reduced in male Pak1(-/-) mice, associated with impaired glucose tolerance after an ip or oral glucose challenge. These mice had lower circulating",IPA3 acts as INHIBITOR for what entity? ,Pak,311.0,308.0
" FUT9) to selectin-ligand biosynthesis were evaluated. The cell adhesion properties of these modified cells to L-, E-, and P-selectin under hydrodynamic shear were compared with bone marrow-derived neutrophils from Fut4(-/-)Fut7(-/-) dual knock-out mice. Results demonstrate that predominantly FUT7, and to a lesser extent FUT4, forms the selectin-ligand at the N terminus of leukocyte P-selectin glycoprotein ligand-1 (PSGL-1) in humans and mice. Here, 85% reduction in leukocyte interaction was observed in human FUT4(-)7(-) dual knockdowns on P/L-selectin substrates. Unlike Fut4(-/-)Fut7(-/-) mouse neutrophils, however, human knockdowns lacking FUT4 and FUT7 only exhibited partial reduction in rolling interaction on E-selectin. In this",N acts as PART-OF for what entity? ,P-selectin glycoprotein ligand-1,418.0,386.0
" not show a concentration- and time-dependent death. Pre-treatment with the antioxidant and glutathione precursor, N-acetylcysteine (NAC), resulted in strong protection against the MDMA metabolites' neurotoxicity. Neither the superoxide radical scavenger, tiron, nor the inhibitor of the dopamine (DA) transporter, GBR 12909, prevented the metabolites' toxicity. Cells exposed to α- MeDA s owed an increase in intracellular glutathione (GSH) levels, which, at the 48 h time-point, was not dependent in the activity increase of γ-glutamylcysteine synthetase (γ-GCS), revealing a possible transient effect. Importantly, pre-treatment with buthionine sulfoximine (BSO), an inhibitor of γ-GCS, prevented α-MeDA induced increase in GSH levels, but did",α-MeDA acts as NOT for what entity? ,γ-glutamylcysteine synthetase,556.0,527.0
" not show a concentration- and time-dependent death. Pre-treatment with the antioxidant and glutathione precursor, N-acetylcysteine (NAC), resulted in strong protection against the MDMA metabolites' neurotoxicity. Neither the superoxide radical scavenger, tiron, nor the inhibitor of the dopamine (DA) transporter, GBR 12909, prevented the metabolites' toxicity. Cells exposed to α- MeDA s owed an increase in intracellular glutathione (GSH) levels, which, at the 48 h time-point, was not dependent in the activity increase of γ-glutamylcysteine synthetase (γ-GCS), revealing a possible transient effect. Importantly, pre-treatment with buthionine sulfoximine (BSO), an inhibitor of γ-GCS, prevented α-MeDA induced increase in GSH levels, but did",α-MeDA acts as NOT for what entity? ,γ-GCS,-1.0,-1.0
" contributors for MDMA neurotoxicity. This work studied the neurotoxicity of MDMA and its catechol metabolites, α-methyldopamine (α-MeDA) and N-methyl-α-methyldopamine (N-Me-α-MeDA) in human dopaminergic SH-SY5Y cells differentiated with retinoic acid and 12-O-tetradecanoyl-phorbol-13-acetate. Differentiation led to SH-SY5Y neurons with higher ability to accumulate dopamine and higher resistance towards dopamine neurotoxicity. MD MA c techol metabolites were neurotoxic to SH-SY5Y neurons, leading to caspase 3-independent cell death in a concentration- and time-dependent manner. MDMA did not show a concentration- and time-dependent death. Pre-treatment with the antioxidant and glutathione precursor, N-acetylcysteine (NAC), resulted in strong protection against the MDMA metabolites' neurotoxicity. Neither the superoxide",MDMA acts as INDIRECT-REGULATOR for what entity? ,caspase 3,-1.0,-1.0
" for MDMA neurotoxicity. This work studied the neurotoxicity of MDMA and its catechol metabolites, α-methyldopamine (α-MeDA) and N-methyl-α-methyldopamine (N-Me-α-MeDA) in human dopaminergic SH-SY5Y cells differentiated with retinoic acid and 12-O-tetradecanoyl-phorbol-13-acetate. Differentiation led to SH-SY5Y neurons with higher ability to accumulate dopamine and higher resistance towards dopamine neurotoxicity. MDMA ca techol m tabolites were neurotoxic to SH-SY5Y neurons, leading to caspase 3-independent cell death in a concentration- and time-dependent manner. MDMA did not show a concentration- and time-dependent death. Pre-treatment with the antioxidant and glutathione precursor, N-acetylcysteine (NAC), resulted in strong protection against the MDMA metabolites' neurotoxicity. Neither the superoxide radical",catechol acts as INDIRECT-REGULATOR for what entity? ,caspase 3,-1.0,-1.0
" dopamine (DA) transporter, GBR 12909, prevented the metabolites' toxicity. Cells exposed to α-MeDA showed an increase in intracellular glutathione (GSH) levels, which, at the 48 h time-point, was not dependent in the activity increase of γ-glutamylcysteine synthetase (γ-GCS), revealing a possible transient effect. Importantly, pre-treatment with buthionine sulfoximine (BS O), an inhibitor of γ-GCS, prevented α-MeDA induced increase in GSH levels, but did not augment this metabolite cytotoxicity. Even so, BSO pre-treatment abolished NAC protective effects against α-MeDA neurotoxicity, which were, at least partially, due to GSH de novo synthesis. Inversely, pre-treatment of cells with BSO augmented N-Me-α-MeDA-induced neurotoxicity,",BSO acts as INHIBITOR for what entity? ,γ-GCS,-1.0,-1.0
